value,alias
Expected Behavior Violation,CWE-440
Unintended Proxy or Intermediary ('Confused Deputy'),CWE-441
DEPRECATED: HTTP response splitting,CWE-443
Inconsistent Interpretation of HTTP Requests ('HTTP Request/Response Smuggling'),CWE-444
UI Discrepancy for Security Feature,CWE-446
Unimplemented or Unsupported Feature in UI,CWE-447
Obsolete Feature in UI,CWE-448
The UI Performs the Wrong Action,CWE-449
Path Equivalence: 'file...name' (Multiple Internal Dot),CWE-45
Multiple Interpretations of UI Input,CWE-450
User Interface (UI) Misrepresentation of Critical Information,CWE-451
Insecure Default Variable Initialization,CWE-453
External Initialization of Trusted Variables or Data Stores,CWE-454
Non-exit on Failed Initialization,CWE-455
Missing Initialization of a Variable,CWE-456
Use of Uninitialized Variable,CWE-457
DEPRECATED: Incorrect Initialization,CWE-458
Incomplete Cleanup,CWE-459
Path Equivalence: 'filename ' (Trailing Space),CWE-46
Improper Cleanup on Thrown Exception,CWE-460
Duplicate Key in Associative List (Alist),CWE-462
Deletion of Data Structure Sentinel,CWE-463
Addition of Data Structure Sentinel,CWE-464
Return of Pointer Value Outside of Expected Range,CWE-466
Use of sizeof() on a Pointer Type,CWE-467
Incorrect Pointer Scaling,CWE-468
Use of Pointer Subtraction to Determine Size,CWE-469
Path Equivalence: ' filename' (Leading Space),CWE-47
Use of Externally-Controlled Input to Select Classes or Code ('Unsafe Reflection'),CWE-470
Modification of Assumed-Immutable Data (MAID),CWE-471
External Control of Assumed-Immutable Web Parameter,CWE-472
PHP External Variable Modification,CWE-473
Use of Function with Inconsistent Implementations,CWE-474
Undefined Behavior for Input to API,CWE-475
NULL Pointer Dereference,CWE-476
Use of Obsolete Function,CWE-477
Missing Default Case in Multiple Condition Expression,CWE-478
Signal Handler Use of a Non-reentrant Function,CWE-479
Path Equivalence: 'file name' (Internal Whitespace),CWE-48
Use of Incorrect Operator,CWE-480
Assigning instead of Comparing,CWE-481
Comparing instead of Assigning,CWE-482
Incorrect Block Delimitation,CWE-483
Omitted Break Statement in Switch,CWE-484
Comparison of Classes by Name,CWE-486
Reliance on Package-level Scope,CWE-487
Exposure of Data Element to Wrong Session,CWE-488
Active Debug Code,CWE-489
Path Equivalence: 'filename/' (Trailing Slash),CWE-49
Public cloneable() Method Without Final ('Object Hijack'),CWE-491
Use of Inner Class Containing Sensitive Data,CWE-492
Critical Public Variable Without Final Modifier,CWE-493
Download of Code Without Integrity Check,CWE-494
Private Data Structure Returned From A Public Method,CWE-495
Public Data Assigned to Private Array-Typed Field,CWE-496
Exposure of Sensitive System Information to an Unauthorized Control Sphere,CWE-497
Cloneable Class Containing Sensitive Information,CWE-498
Serializable Class Containing Sensitive Data,CWE-499
J2EE Misconfiguration: Data Transmission Without Encryption,CWE-5
Path Equivalence: '//multiple/leading/slash',CWE-50
Public Static Field Not Marked Final,CWE-500
Trust Boundary Violation,CWE-501
Deserialization of Untrusted Data,CWE-502
Embedded Malicious Code,CWE-506
Trojan Horse,CWE-507
Non-Replicating Malicious Code,CWE-508
Replicating Malicious Code (Virus or Worm),CWE-509
Path Equivalence: '/multiple//internal/slash',CWE-51
Trapdoor,CWE-510
Logic/Time Bomb,CWE-511
Spyware,CWE-512
Covert Channel,CWE-514
Covert Storage Channel,CWE-515
DEPRECATED: Covert Timing Channel,CWE-516
Path Equivalence: '/multiple/trailing/slash//',CWE-52
.NET Misconfiguration: Use of Impersonation,CWE-520
Weak Password Requirements,CWE-521
Insufficiently Protected Credentials,CWE-522
Unprotected Transport of Credentials,CWE-523
Use of Cache Containing Sensitive Information,CWE-524
Use of Web Browser Cache Containing Sensitive Information,CWE-525
Cleartext Storage of Sensitive Information in an Environment Variable,CWE-526
Exposure of Version-Control Repository to an Unauthorized Control Sphere,CWE-527
Exposure of Core Dump File to an Unauthorized Control Sphere,CWE-528
Exposure of Access Control List Files to an Unauthorized Control Sphere,CWE-529
Path Equivalence: '\multiple\\internal\backslash',CWE-53
Exposure of Backup File to an Unauthorized Control Sphere,CWE-530
Inclusion of Sensitive Information in Test Code,CWE-531
Insertion of Sensitive Information into Log File,CWE-532
DEPRECATED: Information Exposure Through Server Log Files,CWE-533
DEPRECATED: Information Exposure Through Debug Log Files,CWE-534
Exposure of Information Through Shell Error Message,CWE-535
Servlet Runtime Error Message Containing Sensitive Information,CWE-536
Java Runtime Error Message Containing Sensitive Information,CWE-537
Insertion of Sensitive Information into Externally-Accessible File or Directory,CWE-538
Use of Persistent Cookies Containing Sensitive Information,CWE-539
Path Equivalence: 'filedir\' (Trailing Backslash),CWE-54
Inclusion of Sensitive Information in Source Code,CWE-540
Inclusion of Sensitive Information in an Include File,CWE-541
DEPRECATED: Information Exposure Through Cleanup Log Files,CWE-542
Use of Singleton Pattern Without Synchronization in a Multithreaded Context,CWE-543
Missing Standardized Error Handling Mechanism,CWE-544
DEPRECATED: Use of Dynamic Class Loading,CWE-545
Suspicious Comment,CWE-546
"Use of Hard-coded, Security-relevant Constants",CWE-547
Exposure of Information Through Directory Listing,CWE-548
Missing Password Field Masking,CWE-549
Path Equivalence: '/./' (Single Dot Directory),CWE-55
Server-generated Error Message Containing Sensitive Information,CWE-550
Incorrect Behavior Order: Authorization Before Parsing and Canonicalization,CWE-551
Files or Directories Accessible to External Parties,CWE-552
Command Shell in Externally Accessible Directory,CWE-553
ASP.NET Misconfiguration: Not Using Input Validation Framework,CWE-554
J2EE Misconfiguration: Plaintext Password in Configuration File,CWE-555
ASP.NET Misconfiguration: Use of Identity Impersonation,CWE-556
Use of getlogin() in Multithreaded Application,CWE-558
Path Equivalence: 'filedir*' (Wildcard),CWE-56
Use of umask() with chmod-style Argument,CWE-560
Dead Code,CWE-561
Return of Stack Variable Address,CWE-562
Assignment to Variable without Use,CWE-563
SQL Injection: Hibernate,CWE-564
Reliance on Cookies without Validation and Integrity Checking,CWE-565
Authorization Bypass Through User-Controlled SQL Primary Key,CWE-566
Unsynchronized Access to Shared Data in a Multithreaded Context,CWE-567
finalize() Method Without super.finalize(),CWE-568
Path Equivalence: 'fakedir/../realdir/filename',CWE-57
Expression is Always False,CWE-570
Expression is Always True,CWE-571
Call to Thread run() instead of start(),CWE-572
Improper Following of Specification by Caller,CWE-573
EJB Bad Practices: Use of Synchronization Primitives,CWE-574
EJB Bad Practices: Use of AWT Swing,CWE-575
EJB Bad Practices: Use of Java I/O,CWE-576
EJB Bad Practices: Use of Sockets,CWE-577
EJB Bad Practices: Use of Class Loader,CWE-578
J2EE Bad Practices: Non-serializable Object Stored in Session,CWE-579
Path Equivalence: Windows 8.3 Filename,CWE-58
clone() Method Without super.clone(),CWE-580
Object Model Violation: Just One of Equals and Hashcode Defined,CWE-581
"Array Declared Public, Final, and Static",CWE-582
finalize() Method Declared Public,CWE-583
Return Inside Finally Block,CWE-584
Empty Synchronized Block,CWE-585
Explicit Call to Finalize(),CWE-586
Assignment of a Fixed Address to a Pointer,CWE-587
Attempt to Access Child of a Non-structure Pointer,CWE-588
Call to Non-ubiquitous API,CWE-589
Improper Link Resolution Before File Access ('Link Following'),CWE-59
Free of Memory not on the Heap,CWE-590
Sensitive Data Storage in Improperly Locked Memory,CWE-591
DEPRECATED: Authentication Bypass Issues,CWE-592
Authentication Bypass: OpenSSL CTX Object Modified after SSL Objects are Created,CWE-593
J2EE Framework: Saving Unserializable Objects to Disk,CWE-594
Comparison of Object References Instead of Object Contents,CWE-595
DEPRECATED: Incorrect Semantic Object Comparison,CWE-596
Use of Wrong Operator in String Comparison,CWE-597
Use of GET Request Method With Sensitive Query Strings,CWE-598
Missing Validation of OpenSSL Certificate,CWE-599
J2EE Misconfiguration: Insufficient Session-ID Length,CWE-6
Uncaught Exception in Servlet ,CWE-600
URL Redirection to Untrusted Site ('Open Redirect'),CWE-601
Client-Side Enforcement of Server-Side Security,CWE-602
Use of Client-Side Authentication,CWE-603
Multiple Binds to the Same Port,CWE-605
Unchecked Input for Loop Condition,CWE-606
Public Static Final Field References Mutable Object,CWE-607
Struts: Non-private Field in ActionForm Class,CWE-608
Double-Checked Locking,CWE-609
UNIX Symbolic Link (Symlink) Following,CWE-61
Externally Controlled Reference to a Resource in Another Sphere,CWE-610
Improper Restriction of XML External Entity Reference,CWE-611
Improper Authorization of Index Containing Sensitive Information,CWE-612
Insufficient Session Expiration,CWE-613
Sensitive Cookie in HTTPS Session Without 'Secure' Attribute,CWE-614
Inclusion of Sensitive Information in Source Code Comments,CWE-615
Incomplete Identification of Uploaded File Variables (PHP),CWE-616
Reachable Assertion,CWE-617
Exposed Unsafe ActiveX Method,CWE-618
Dangling Database Cursor ('Cursor Injection'),CWE-619
UNIX Hard Link,CWE-62
Unverified Password Change,CWE-620
Variable Extraction Error,CWE-621
Improper Validation of Function Hook Arguments,CWE-622
Unsafe ActiveX Control Marked Safe For Scripting,CWE-623
Executable Regular Expression Error,CWE-624
Permissive Regular Expression,CWE-625
Null Byte Interaction Error (Poison Null Byte),CWE-626
Dynamic Variable Evaluation,CWE-627
Function Call with Incorrectly Specified Arguments,CWE-628
Not Failing Securely ('Failing Open'),CWE-636
Unnecessary Complexity in Protection Mechanism (Not Using 'Economy of Mechanism'),CWE-637
Not Using Complete Mediation,CWE-638
Authorization Bypass Through User-Controlled Key,CWE-639
Windows Shortcut Following (.LNK),CWE-64
Weak Password Recovery Mechanism for Forgotten Password,CWE-640
Improper Restriction of Names for Files and Other Resources,CWE-641
External Control of Critical State Data,CWE-642
Improper Neutralization of Data within XPath Expressions ('XPath Injection'),CWE-643
Improper Neutralization of HTTP Headers for Scripting Syntax,CWE-644
Overly Restrictive Account Lockout Mechanism,CWE-645
Reliance on File Name or Extension of Externally-Supplied File,CWE-646
Use of Non-Canonical URL Paths for Authorization Decisions,CWE-647
Incorrect Use of Privileged APIs,CWE-648
Reliance on Obfuscation or Encryption of Security-Relevant Inputs without Integrity Checking,CWE-649
Windows Hard Link,CWE-65
Trusting HTTP Permission Methods on the Server Side,CWE-650
Exposure of WSDL File Containing Sensitive Information,CWE-651
Improper Neutralization of Data within XQuery Expressions ('XQuery Injection'),CWE-652
Improper Isolation or Compartmentalization,CWE-653
Reliance on a Single Factor in a Security Decision,CWE-654
Insufficient Psychological Acceptability,CWE-655
Reliance on Security Through Obscurity,CWE-656
Violation of Secure Design Principles,CWE-657
Improper Handling of File Names that Identify Virtual Resources,CWE-66
Improper Synchronization,CWE-662
Use of a Non-reentrant Function in a Concurrent Context,CWE-663
Improper Control of a Resource Through its Lifetime,CWE-664
Improper Initialization,CWE-665
Operation on Resource in Wrong Phase of Lifetime,CWE-666
Improper Locking,CWE-667
Exposure of Resource to Wrong Sphere,CWE-668
Incorrect Resource Transfer Between Spheres,CWE-669
Improper Handling of Windows Device Names,CWE-67
Always-Incorrect Control Flow Implementation,CWE-670
Lack of Administrator Control over Security,CWE-671
Operation on a Resource after Expiration or Release,CWE-672
External Influence of Sphere Definition,CWE-673
Uncontrolled Recursion,CWE-674
Multiple Operations on Resource in Single-Operation Context,CWE-675
Use of Potentially Dangerous Function,CWE-676
Integer Overflow to Buffer Overflow,CWE-680
Incorrect Conversion between Numeric Types,CWE-681
Incorrect Calculation,CWE-682
Function Call With Incorrect Order of Arguments,CWE-683
Incorrect Provision of Specified Functionality,CWE-684
Function Call With Incorrect Number of Arguments,CWE-685
Function Call With Incorrect Argument Type,CWE-686
Function Call With Incorrectly Specified Argument Value,CWE-687
Function Call With Incorrect Variable or Reference as Argument,CWE-688
Permission Race Condition During Resource Copy,CWE-689
Improper Handling of Windows ::DATA Alternate Data Stream,CWE-69
Unchecked Return Value to NULL Pointer Dereference,CWE-690
Insufficient Control Flow Management,CWE-691
Incomplete Denylist to Cross-Site Scripting,CWE-692
Protection Mechanism Failure,CWE-693
Use of Multiple Resources with Duplicate Identifier,CWE-694
Use of Low-Level Functionality,CWE-695
Incorrect Behavior Order,CWE-696
Incorrect Comparison,CWE-697
Execution After Redirect (EAR),CWE-698
J2EE Misconfiguration: Missing Custom Error Page,CWE-7
Improper Check or Handling of Exceptional Conditions,CWE-703
Incorrect Type Conversion or Cast,CWE-704
Incorrect Control Flow Scoping,CWE-705
Use of Incorrectly-Resolved Name or Reference,CWE-706
Improper Neutralization,CWE-707
Incorrect Ownership Assignment,CWE-708
DEPRECATED: Apple '.DS_Store',CWE-71
Improper Adherence to Coding Standards,CWE-710
Improper Handling of Apple HFS+ Alternate Data Stream Path,CWE-72
External Control of File Name or Path,CWE-73
Incorrect Permission Assignment for Critical Resource,CWE-732
Compiler Optimization Removal or Modification of Security-critical Code,CWE-733
Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),CWE-74
Exposed Dangerous Method or Function,CWE-749
Failure to Sanitize Special Elements into a Different Plane (Special Element Injection),CWE-75
Improper Check for Unusual or Exceptional Conditions,CWE-754
Improper Handling of Exceptional Conditions,CWE-755
Missing Custom Error Page,CWE-756
Selection of Less-Secure Algorithm During Negotiation ('Algorithm Downgrade'),CWE-757
"Reliance on Undefined, Unspecified, or Implementation-Defined Behavior",CWE-758
Use of a One-Way Hash without a Salt,CWE-759
Improper Neutralization of Equivalent Special Elements,CWE-76
Use of a One-Way Hash with a Predictable Salt,CWE-760
Free of Pointer not at Start of Buffer,CWE-761
Mismatched Memory Management Routines,CWE-762
Release of Invalid Pointer or Reference,CWE-763
Multiple Locks of a Critical Resource,CWE-764
Multiple Unlocks of a Critical Resource,CWE-765
Critical Data Element Declared Public,CWE-766
Access to Critical Private Variable via Public Method,CWE-767
Incorrect Short Circuit Evaluation,CWE-768
DEPRECATED: Uncontrolled File Descriptor Consumption,CWE-769
Improper Neutralization of Special Elements used in a Command ('Command Injection'),CWE-77
Allocation of Resources Without Limits or Throttling,CWE-770
Missing Reference to Active Allocated Resource,CWE-771
Missing Release of Resource after Effective Lifetime,CWE-772
Missing Reference to Active File Descriptor or Handle,CWE-773
Allocation of File Descriptors or Handles Without Limits or Throttling,CWE-774
Missing Release of File Descriptor or Handle after Effective Lifetime,CWE-775
Improper Restriction of Recursive Entity References in DTDs ('XML Entity Expansion'),CWE-776
Regular Expression without Anchors,CWE-777
Insufficient Logging,CWE-778
Logging of Excessive Data,CWE-779
Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),CWE-78
Use of RSA Algorithm without OAEP,CWE-780
Improper Address Validation in IOCTL with METHOD_NEITHER I/O Control Code,CWE-781
Exposed IOCTL with Insufficient Access Control,CWE-782
Operator Precedence Logic Error,CWE-783
Reliance on Cookies without Validation and Integrity Checking in a Security Decision,CWE-784
Use of Path Manipulation Function without Maximum-sized Buffer,CWE-785
Access of Memory Location Before Start of Buffer,CWE-786
Out-of-bounds Write,CWE-787
Access of Memory Location After End of Buffer,CWE-788
Memory Allocation with Excessive Size Value,CWE-789
Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),CWE-79
Improper Filtering of Special Elements,CWE-790
Incomplete Filtering of Special Elements,CWE-791
Incomplete Filtering of One or More Instances of Special Elements,CWE-792
Only Filtering One Instance of a Special Element,CWE-793
Incomplete Filtering of Multiple Instances of Special Elements,CWE-794
Only Filtering Special Elements at a Specified Location,CWE-795
Only Filtering Special Elements Relative to a Marker,CWE-796
Only Filtering Special Elements at an Absolute Position,CWE-797
Use of Hard-coded Credentials,CWE-798
Improper Control of Interaction Frequency,CWE-799
J2EE Misconfiguration: Entity Bean Declared Remote,CWE-8
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),CWE-80
Guessable CAPTCHA,CWE-804
Buffer Access with Incorrect Length Value,CWE-805
Buffer Access Using Size of Source Buffer,CWE-806
Reliance on Untrusted Inputs in a Security Decision,CWE-807
Improper Neutralization of Script in an Error Message Web Page,CWE-81
Improper Neutralization of Script in Attributes of IMG Tags in a Web Page,CWE-82
Missing Synchronization,CWE-820
Incorrect Synchronization,CWE-821
Untrusted Pointer Dereference,CWE-822
Use of Out-of-range Pointer Offset,CWE-823
Access of Uninitialized Pointer,CWE-824
Expired Pointer Dereference,CWE-825
Premature Release of Resource During Expected Lifetime,CWE-826
Improper Control of Document Type Definition,CWE-827
Signal Handler with Functionality that is not Asynchronous-Safe,CWE-828
Inclusion of Functionality from Untrusted Control Sphere,CWE-829
Improper Neutralization of Script in Attributes in a Web Page,CWE-83
Inclusion of Web Functionality from an Untrusted Source,CWE-830
Signal Handler Function Associated with Multiple Signals,CWE-831
Unlock of a Resource that is not Locked,CWE-832
Deadlock,CWE-833
Excessive Iteration,CWE-834
Loop with Unreachable Exit Condition ('Infinite Loop'),CWE-835
Use of Password Hash Instead of Password for Authentication,CWE-836
"Improper Enforcement of a Single, Unique Action",CWE-837
Inappropriate Encoding for Output Context,CWE-838
Numeric Range Comparison Without Minimum Check,CWE-839
Improper Neutralization of Encoded URI Schemes in a Web Page,CWE-84
Improper Enforcement of Behavioral Workflow,CWE-841
Placement of User into Incorrect Group,CWE-842
Access of Resource Using Incompatible Type ('Type Confusion'),CWE-843
Doubled Character XSS Manipulations,CWE-85
Improper Neutralization of Invalid Characters in Identifiers in Web Pages,CWE-86
Missing Authorization,CWE-862
Incorrect Authorization,CWE-863
Improper Neutralization of Alternate XSS Syntax,CWE-87
Improper Neutralization of Argument Delimiters in a Command ('Argument Injection'),CWE-88
Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),CWE-89
J2EE Misconfiguration: Weak Access Permissions for EJB Methods,CWE-9
Improper Neutralization of Special Elements used in an LDAP Query ('LDAP Injection'),CWE-90
Use of Uninitialized Resource,CWE-908
Missing Initialization of Resource,CWE-909
XML Injection (aka Blind XPath Injection),CWE-91
Use of Expired File Descriptor,CWE-910
Improper Update of Reference Count,CWE-911
Hidden Functionality,CWE-912
Improper Control of Dynamically-Managed Code Resources,CWE-913
Improper Control of Dynamically-Identified Variables,CWE-914
Improperly Controlled Modification of Dynamically-Determined Object Attributes,CWE-915
Use of Password Hash With Insufficient Computational Effort,CWE-916
Improper Neutralization of Special Elements used in an Expression Language Statement ('Expression Language Injection'),CWE-917
Server-Side Request Forgery (SSRF),CWE-918
DEPRECATED: Improper Sanitization of Custom Special Characters,CWE-92
Improper Restriction of Power Consumption,CWE-920
Storage of Sensitive Data in a Mechanism without Access Control,CWE-921
Insecure Storage of Sensitive Information,CWE-922
Improper Restriction of Communication Channel to Intended Endpoints,CWE-923
Improper Enforcement of Message Integrity During Transmission in a Communication Channel,CWE-924
Improper Verification of Intent by Broadcast Receiver,CWE-925
Improper Export of Android Application Components,CWE-926
Use of Implicit Intent for Sensitive Communication,CWE-927
Improper Neutralization of CRLF Sequences ('CRLF Injection'),CWE-93
Improper Authorization in Handler for Custom URL Scheme,CWE-939
Improper Control of Generation of Code ('Code Injection'),CWE-94
Improper Verification of Source of a Communication Channel,CWE-940
Incorrectly Specified Destination in a Communication Channel,CWE-941
Permissive Cross-domain Policy with Untrusted Domains,CWE-942
Improper Neutralization of Special Elements in Data Query Logic,CWE-943
Improper Neutralization of Directives in Dynamically Evaluated Code ('Eval Injection'),CWE-95
Improper Neutralization of Directives in Statically Saved Code ('Static Code Injection'),CWE-96
Improper Neutralization of Server-Side Includes (SSI) Within a Web Page,CWE-97
Improper Control of Filename for Include/Require Statement in PHP Program ('PHP Remote File Inclusion'),CWE-98
Improper Control of Resource Identifiers ('Resource Injection'),CWE-99
